name,distance,stellar_magnitude,planet_type,discovery_year,mass_multiplier,mass_wrt,radius_multiplier,radius_wrt,orbital_radius,orbital_period,eccentricity,detection_method,size_score,star_planet_interaction,mass_multiplier_squared,radius_multiplier_squared,orbital_radius_squared,orbital_radius_bin,expanded_planet_type,habitable_zone,planet_surface_temperature,geological_activity_potential,atmospheric_pressure,potential_for_liquid_water,biosignature_potential,radiation_exposure,approximated_mass,approximated_radius,planet_gravity,climate_stability,atmospheric_retention_potential,possibility_of_moon,planetary_composition_hypothesis,atmospheric_density,normalized_stellar_magnitude,normalized_orbital_radius,energy_receipt_score,planetary_energy_receipt,planetary_composition_hypothesis_v2,planetary_composition_hypothesis_v3,planetary_composition_hypothesis_v4,planetary_composition_hypothesis_v5,combined_planetary_composition_hypothesis
11 Comae Berenices b,304.0,4.72307,Gas Giant,2007,19.4,1.898e+27,1.08,71492.0,1.29,0.8925394,0.23,Radial Velocity,20.952,6.0927603,376.35999999999996,1.1664,1.6641000000000001,1-2,Gas Giant - Close,Yes,Temperate,,Low,,Medium,Low,3.68212e+28,77211.36,412213049.2951179,Unknown,,High,Unknown,Medium,0.08804860761808954,0.9998287235873147,1.0878773312054042,Extremely Low,Unknown,Unknown,Iron World,Shadow World,Iron World
11 Ursae Minoris b,409.0,5.013,Gas Giant,2009,14.74,1.898e+27,1.09,71492.0,1.53,1.4,0.08,Radial Velocity,16.0666,7.66989,217.26760000000002,1.1881000000000002,2.3409,1-2,Gas Giant - Close,No,Temperate,,Low,,Medium,Low,2.797652e+28,77926.28,307476553.6712411,Unknown,,High,Unknown,Medium,0.09467739722895423,0.9997967491481077,1.094474146377062,Extremely Low,Unknown,Unknown,Iron World,Shadow World,Iron World
14 Andromedae b,246.0,5.23133,Gas Giant,2008,4.8,1.898e+27,1.15,71492.0,0.83,0.5086927,0.0,Radial Velocity,5.52,4.3420039,23.04,1.3224999999999998,0.6889,0.5-1,Gas Giant - Close,Yes,Temperate,,Low,,Medium,Low,9.1104e+27,82215.79999999999,89952465.97741559,Unknown,,High,Unknown,Medium,0.09966916639992683,0.999890007929128,1.0995591743290547,Extremely Low,Unknown,Unknown,Iron World,Shadow World,Iron World
14 Herculis b,58.0,6.61935,Gas Giant,2002,8.13881,1.898e+27,1.12,71492.0,2.773069,4.8,0.37,Radial Velocity,9.1154672,18.35591428515,66.2402282161,1.2544000000000002,7.689911678761,>2,Gas Giant - Close,No,Cold,,Low,,Medium,Low,1.544746138e+28,80071.04000000001,160802346.43631607,Low,,High,Unknown,Medium,0.131404042251589,0.9996311390057303,1.1310351812573194,Extremely Low,Unknown,Unknown,Iron World,Shadow World,Iron World
16 Cygni B b,69.0,6.215,Gas Giant,1996,1.78,1.898e+27,1.2,71492.0,1.66,2.2,0.68,Radial Velocity,2.136,10.3169,3.1684,1.44,2.7556,1-2,Gas Giant - Close,No,Temperate,,Low,,Medium,Low,3.37844e+27,85790.4,30635503.838850573,Unknown,,High,Unknown,Medium,0.12215922081485207,0.9997794296602039,1.121938650475056,Extremely Low,Unknown,Unknown,Unknown,Shadow World,Shadow World
17 Scorpii b,408.0,5.22606,Gas Giant,2020,4.32,1.898e+27,1.15,71492.0,1.45,1.6,0.06,Radial Velocity,4.968,7.577787000000001,18.6624,1.3224999999999998,2.1025,1-2,Gas Giant - Close,Yes,Temperate,,Low,,Medium,Low,8.19936e+27,82215.79999999999,80957219.37967403,Unknown,,High,Unknown,Medium,0.09954867620833144,0.99980740729451,1.0993560835028415,Extremely Low,Unknown,Unknown,Unknown,Shadow World,Shadow World
18 Delphini b,249.0,5.51048,Gas Giant,2008,10.3,1.898e+27,1.11,71492.0,2.6,2.7,0.08,Radial Velocity,11.433000000000002,14.327248,106.09000000000002,1.2321000000000002,6.760000000000001,>2,Gas Giant - Close,No,Cold,,Low,,Medium,Low,1.9549399999999999e+28,79356.12000000001,207185226.34591693,Low,,High,Unknown,Medium,0.10605148840824913,0.9996541964399766,1.1057056848482256,Extremely Low,Unknown,Unknown,Iron World,Shadow World,Iron World
1RXS J160929.1-210524 b,454.0,12.618,Gas Giant,2008,8.0,1.898e+27,1.664,71492.0,330.0,6505.9,0.0,Direct Imaging,13.312,4163.9400000000005,64.0,2.768896,108900.0,>2,Gas Giant - Close,No,Cold,,Low,,Medium,Low,1.5184e+28,118962.688,71606238.40400176,Low,,High,Unknown,Medium,0.2685536604325758,0.9560357322884655,1.2245893927210414,Low,Unknown,Unknown,Unknown,Unknown,Rocky
24 Bootis b,313.0,5.59,Gas Giant,2018,0.91,1.898e+27,1.24,71492.0,0.19,0.08323066,0.04,Radial Velocity,1.1284,1.0621,0.8281000000000001,1.5376,0.0361,<0.5,Gas Giant - Close,No,Temperate,,Low,,Medium,Low,1.72718e+27,88650.08,14667818.894187128,Unknown,,High,Unknown,Medium,0.1078695870867438,0.9999752731003466,1.1078448601870905,Extremely Low,Unknown,Unknown,Unknown,Shadow World,Shadow World
24 Sextantis b,235.0,6.4535,Gas Giant,2010,1.99,1.898e+27,1.19,71492.0,1.333,1.2396988,0.09,Radial Velocity,2.3681,8.602515499999999,3.9601,1.4161,1.776889,1-2,Gas Giant - Close,Yes,Temperate,,Low,,Medium,Low,3.77702e+27,85075.48,34827850.42659901,Unknown,,High,Unknown,Medium,0.1276121450454982,0.9998229948336234,1.1274351398791216,Extremely Low,Unknown,Unknown,Unknown,Shadow World,Shadow World
