name,distance,stellar_magnitude,planet_type,discovery_year,mass_multiplier,mass_wrt,radius_multiplier,radius_wrt,orbital_radius,orbital_period,eccentricity,detection_method,size_score,star_planet_interaction,mass_multiplier_squared,radius_multiplier_squared,orbital_radius_squared,orbital_radius_bin,expanded_planet_type,habitable_zone
11 Comae Berenices b,304.0,4.72307,Gas Giant,2007,19.4,Jupiter,1.08,Jupiter,1.29,0.8925394,0.23,Radial Velocity,20.951999999999998,6.0927603,376.35999999999996,1.1664,1.6641000000000001,Close,Gas Giant - Close,On the Edge
11 Ursae Minoris b,409.0,5.013,Gas Giant,2009,14.74,Jupiter,1.09,Jupiter,1.53,1.4,0.08,Radial Velocity,16.0666,7.66989,217.26760000000002,1.1881000000000002,2.3409,Close,Gas Giant - Close,On the Edge
14 Andromedae b,246.0,5.23133,Gas Giant,2008,4.8,Jupiter,1.15,Jupiter,0.83,0.5086927,0.0,Radial Velocity,5.52,4.3420039,23.04,1.3224999999999998,0.6889,Close,Gas Giant - Close,Inside
14 Herculis b,58.0,6.61935,Gas Giant,2002,8.13881,Jupiter,1.12,Jupiter,2.773069,4.8,0.37,Radial Velocity,9.1154672,18.35591428515,66.2402282161,1.2544000000000002,7.689911678761,Close,Gas Giant - Close,Outside
16 Cygni B b,69.0,6.215,Gas Giant,1996,1.78,Jupiter,1.2,Jupiter,1.66,2.2,0.68,Radial Velocity,2.136,10.316899999999999,3.1684,1.44,2.7556,Close,Gas Giant - Close,On the Edge
17 Scorpii b,408.0,5.22606,Gas Giant,2020,4.32,Jupiter,1.15,Jupiter,1.45,1.6,0.06,Radial Velocity,4.968,7.577787000000001,18.6624,1.3224999999999998,2.1025,Close,Gas Giant - Close,On the Edge
18 Delphini b,249.0,5.51048,Gas Giant,2008,10.3,Jupiter,1.11,Jupiter,2.6,2.7,0.08,Radial Velocity,11.433000000000002,14.327248,106.09000000000002,1.2321000000000002,6.760000000000001,Close,Gas Giant - Close,Outside
1RXS J160929.1-210524 b,454.0,12.618,Gas Giant,2008,8.0,Jupiter,1.664,Jupiter,330.0,6505.9,0.0,Direct Imaging,13.312,4163.9400000000005,64.0,2.768896,108900.0,Close,Gas Giant - Close,Outside
24 Bootis b,313.0,5.59,Gas Giant,2018,0.91,Jupiter,1.24,Jupiter,0.19,0.08323066,0.04,Radial Velocity,1.1284,1.0621,0.8281000000000001,1.5376,0.0361,Close,Gas Giant - Close,Inside
24 Sextantis b,235.0,6.4535,Gas Giant,2010,1.99,Jupiter,1.19,Jupiter,1.333,1.2396988,0.09,Radial Velocity,2.3681,8.602515499999999,3.9601,1.4161,1.776889,Close,Gas Giant - Close,On the Edge
24 Sextantis c,235.0,6.4535,Gas Giant,2010,0.86,Jupiter,1.24,Jupiter,2.08,2.4,0.29,Radial Velocity,1.0664,13.42328,0.7395999999999999,1.5376,4.3264000000000005,Close,Gas Giant - Close,Outside
2M0437 b,419.0,16.186,Gas Giant,2021,4.0,Jupiter,1.16,Jupiter,118.0,3110.6,0.0,Direct Imaging,4.64,1909.948,16.0,1.3456,13924.0,Close,Gas Giant - Close,Outside
2MASS J01033563-5515561 AB b,154.0,15.788,Gas Giant,2013,13.0,Jupiter,1.1,Jupiter,84.0,1767.2,0.0,Direct Imaging,14.3,1326.192,169.0,1.2100000000000002,7056.0,Close,Gas Giant - Close,Outside
2MASS J01225093-2439505 b,110.0,14.244,Gas Giant,2013,24.5,Jupiter,1.0,Jupiter,52.0,593.2,0.0,Direct Imaging,24.5,740.688,600.25,1.0,2704.0,Close,Gas Giant - Close,Outside
2MASS J02192210-3925225 b,131.0,,Gas Giant,2015,13.9,Jupiter,1.44,Jupiter,156.0,5878.1,0.0,Direct Imaging,20.016,,193.21,2.0736,24336.0,Close,Gas Giant - Close,Outside
2MASS J04414489+2301513 b,393.0,,Gas Giant,2010,7.5,Jupiter,1.13,Jupiter,15.0,411.0,0.0,Direct Imaging,8.475,,56.25,1.2768999999999997,225.0,Close,Gas Giant - Close,Outside
2MASS J12073346-3932539 b,210.0,20.15,Gas Giant,2004,5.0,Jupiter,1.15,Jupiter,55.0,2885.9,0.0,Direct Imaging,5.75,1108.25,25.0,1.3224999999999998,3025.0,Close,Gas Giant - Close,Outside
2MASS J19383260+4603591 b,1293.0,12.651,Gas Giant,2015,1.9,Jupiter,1.2,Jupiter,0.92,1.1115674,0.33,Eclipse Timing Variations,2.28,11.63892,3.61,1.44,0.8464,Close,Gas Giant - Close,Inside
2MASS J22362452+4751425 b,227.0,12.368,Gas Giant,2016,12.5,Jupiter,1.1,Jupiter,230.0,4505.7,0.0,Direct Imaging,13.750000000000002,2844.64,156.25,1.2100000000000002,52900.0,Close,Gas Giant - Close,Outside
30 Arietis B b,146.0,7.09209,Gas Giant,2009,13.82,Jupiter,1.1,Jupiter,0.99,0.9174538,0.29,Radial Velocity,15.202000000000002,7.0211691,190.9924,1.2100000000000002,0.9801,Close,Gas Giant - Close,On the Edge
42 Draconis b,296.0,4.8262,Gas Giant,2008,3.88,Jupiter,1.16,Jupiter,1.19,1.3117043,0.38,Radial Velocity,4.5008,5.7431779999999995,15.0544,1.3456,1.4161,Close,Gas Giant - Close,On the Edge
47 Ursae Majoris b,45.0,5.03352,Gas Giant,1996,2.53,Jupiter,1.18,Jupiter,2.1,3.0,0.03,Radial Velocity,2.9854,10.570392000000002,6.400899999999999,1.3923999999999999,4.41,Close,Gas Giant - Close,Outside
47 Ursae Majoris c,45.0,5.03352,Gas Giant,2001,0.54,Jupiter,1.27,Jupiter,3.6,6.6,0.1,Radial Velocity,0.6858000000000001,18.120672000000003,0.2916,1.6129,12.96,Close,Gas Giant - Close,Outside
47 Ursae Majoris d,45.0,5.03352,Gas Giant,2009,1.64,Jupiter,1.2,Jupiter,11.6,38.4,0.16,Radial Velocity,1.9679999999999997,58.388832,2.6895999999999995,1.44,134.56,Close,Gas Giant - Close,Outside
4 Ursae Majoris b,240.0,4.5801,Gas Giant,2006,7.1,Jupiter,1.13,Jupiter,0.87,0.7373032,0.43,Radial Velocity,8.023,3.9846869999999996,50.41,1.2768999999999997,0.7569,Close,Gas Giant - Close,Inside
51 Eridani b,97.0,5.21149,Gas Giant,2015,2.0,Jupiter,1.19,Jupiter,13.2,32.0,0.45,Direct Imaging,2.38,68.791668,4.0,1.4161,174.23999999999998,Close,Gas Giant - Close,Outside
51 Pegasi b,50.0,5.45309,Gas Giant,1995,0.46,Jupiter,1.27,Jupiter,0.0527,0.011498973,0.01,Radial Velocity,0.5842,0.287377843,0.2116,1.6129,0.0027772899999999995,Close,Gas Giant - Close,Inside
55 Cancri b,41.0,5.95084,Gas Giant,1996,0.8306,Jupiter,1.24,Jupiter,0.1134,0.040246405,0.0,Radial Velocity,1.029944,0.6748252560000001,0.68989636,1.5376,0.01285956,Close,Gas Giant - Close,Inside
55 Cancri c,41.0,5.95084,Gas Giant,2004,0.1714,Jupiter,0.76,Jupiter,0.2373,0.12156058,0.03,Radial Velocity,0.130264,1.4121343320000002,0.029377959999999998,0.5776,0.05631129000000001,Close,Gas Giant - Close,Inside
55 Cancri d,41.0,5.95084,Gas Giant,2002,3.878,Jupiter,1.16,Jupiter,5.957,15.3,0.13,Radial Velocity,4.49848,35.449153880000004,15.038884000000001,1.3456,35.485849,Close,Gas Giant - Close,Outside
55 Cancri e,41.0,5.95084,Super Earth,2004,7.99,Earth,1.875,Earth,0.01544,0.0019164955,0.05,Radial Velocity,14.981250000000001,0.09188096960000001,63.84010000000001,3.515625,0.0002383936,Close,Super Earth - Close,Inside
55 Cancri f,41.0,5.95084,Gas Giant,2007,0.141,Jupiter,0.677,Jupiter,0.7708,0.7115674,0.08,Radial Velocity,0.095457,4.586907472000001,0.019880999999999996,0.45832900000000004,0.5941326400000001,Close,Gas Giant - Close,Inside
61 Virginis b,28.0,4.6955,Neptune-like,2009,5.1,Earth,2.11,Earth,0.050201,0.011498973,0.12,Radial Velocity,10.761,0.23571879550000002,26.009999999999998,4.4521,0.0025201404010000003,Close,Neptune-like - Close,Inside
61 Virginis c,28.0,4.6955,Neptune-like,2009,18.2,Earth,0.398,Jupiter,0.2175,0.10403833,0.14,Radial Velocity,7.2436,1.02127125,331.23999999999995,0.15840400000000002,0.04730625,Close,Neptune-like - Close,Inside
61 Virginis d,28.0,4.6955,Neptune-like,2009,22.9,Earth,0.456,Jupiter,0.476,0.33675563,0.35,Radial Velocity,10.4424,2.235058,524.41,0.207936,0.22657599999999997,Close,Neptune-like - Close,Inside
6 Lyncis b,178.0,5.87307,Gas Giant,2008,2.01,Jupiter,1.19,Jupiter,2.11,2.6,0.07,Radial Velocity,2.3918999999999997,12.3921777,4.040099999999999,1.4161,4.4521,Close,Gas Giant - Close,Outside
70 Virginis b,58.0,4.96808,Gas Giant,1996,7.49,Jupiter,1.13,Jupiter,0.481,0.31950718,0.4,Radial Velocity,8.4637,2.3896464799999997,56.100100000000005,1.2768999999999997,0.23136099999999998,Close,Gas Giant - Close,Inside
75 Ceti b,271.0,5.3532,Gas Giant,2012,3.0,Jupiter,1.17,Jupiter,2.1,1.9,0.12,Radial Velocity,3.51,11.24172,9.0,1.3688999999999998,4.41,Close,Gas Giant - Close,Outside
7 Canis Majoris b,65.0,3.95,Gas Giant,2011,1.85,Jupiter,1.2,Jupiter,1.758,2.0,0.06,Radial Velocity,2.22,6.944100000000001,3.4225000000000003,1.44,3.090564,Close,Gas Giant - Close,Outside
7 Canis Majoris c,65.0,3.95,Gas Giant,2019,0.87,Jupiter,1.24,Jupiter,2.153,2.7,0.08,Radial Velocity,1.0788,8.50435,0.7569,1.5376,4.635409,Close,Gas Giant - Close,Outside
81 Ceti b,330.0,5.64307,Gas Giant,2008,5.3,Jupiter,1.14,Jupiter,2.5,2.6,0.21,Radial Velocity,6.041999999999999,14.107675,28.09,1.2995999999999999,6.25,Close,Gas Giant - Close,Outside
8 Ursae Minoris b,530.0,6.83295,Gas Giant,2015,1.31,Jupiter,1.22,Jupiter,0.49,0.25571528,0.06,Radial Velocity,1.5982,3.3481455,1.7161000000000002,1.4884,0.24009999999999998,Close,Gas Giant - Close,Inside
91 Aquarii b,144.0,4.23946,Gas Giant,2013,3.2,Jupiter,1.17,Jupiter,0.7,0.4966461,0.03,Radial Velocity,3.7439999999999998,2.967622,10.240000000000002,1.3688999999999998,0.48999999999999994,Close,Gas Giant - Close,Inside
AB Aurigae b,529.0,7.076,Gas Giant,2022,9.0,Jupiter,1.12,Jupiter,93.9,587.7,0.4,Direct Imaging,10.080000000000002,664.4364,81.0,1.2544000000000002,8817.210000000001,Close,Gas Giant - Close,Outside
AB Pictoris b,163.0,9.13,Gas Giant,2005,13.5,Jupiter,1.1,Jupiter,260.0,4421.7,0.0,Direct Imaging,14.850000000000001,2373.8,182.25,1.2100000000000002,67600.0,Close,Gas Giant - Close,Outside
Alpha Arietis b,66.0,2.00538,Gas Giant,2010,1.8,Jupiter,1.2,Jupiter,1.2,1.0425736,0.25,Radial Velocity,2.16,2.406456,3.24,1.44,1.44,Close,Gas Giant - Close,On the Edge
Alpha Tauri b,67.0,0.872,Gas Giant,2015,6.47,Jupiter,1.13,Jupiter,1.46,1.7,0.1,Radial Velocity,7.311099999999999,1.27312,41.860899999999994,1.2768999999999997,2.1315999999999997,Close,Gas Giant - Close,On the Edge
AU Microscopii b,32.0,8.81,Neptune-like,2020,20.12,Earth,0.363,Jupiter,0.0645,0.023271732,0.19,Transit,7.30356,0.568245,404.81440000000003,0.131769,0.00416025,Close,Neptune-like - Close,Inside
AU Microscopii c,32.0,8.81,Neptune-like,2021,9.6,Earth,0.289,Jupiter,0.1101,0.051745377,0.04,Transit,2.7743999999999995,0.9699810000000001,92.16,0.08352099999999998,0.01212201,Close,Neptune-like - Close,Inside
b Centauri AB b,320.0,4.01,Gas Giant,2021,10.9,Jupiter,1.11,Jupiter,556.0,4904.1,0.4,Direct Imaging,12.099000000000002,2229.56,118.81,1.2321000000000002,309136.0,Close,Gas Giant - Close,Outside
BD-00 4475 b,139.0,9.01,Gas Giant,2021,25.05,Jupiter,1.07,Jupiter,1.48,2.0,0.39,Radial Velocity,26.803500000000003,13.3348,627.5025,1.1449,2.1904,Close,Gas Giant - Close,On the Edge
BD+03 2562 b,3492.0,9.577,Gas Giant,2017,6.4,Jupiter,1.13,Jupiter,1.3,1.3193703,0.2,Radial Velocity,7.231999999999999,12.4501,40.96000000000001,1.2768999999999997,1.6900000000000002,Close,Gas Giant - Close,On the Edge
BD-06 1339 b,66.0,9.7,Neptune-like,2013,8.5,Earth,0.254,Jupiter,0.0428,0.010677618,0.0,Radial Velocity,2.159,0.41516,72.25,0.064516,0.0018318399999999997,Close,Neptune-like - Close,Inside
BD-06 1339 c,66.0,9.7,Gas Giant,2013,0.17,Jupiter,0.747,Jupiter,0.435,0.34469542,0.31,Radial Velocity,0.12699000000000002,4.2195,0.028900000000000006,0.558009,0.189225,Close,Gas Giant - Close,Inside
BD-08 2823 b,135.0,9.86,Neptune-like,2009,12.7132,Earth,0.322,Jupiter,0.06,0.015331964,0.15,Radial Velocity,4.0936504000000005,0.5915999999999999,161.62545424,0.10368400000000001,0.0036,Close,Neptune-like - Close,Inside
BD-08 2823 c,135.0,9.86,Gas Giant,2009,0.33,Jupiter,1.11,Jupiter,0.68,0.65051335,0.19,Radial Velocity,0.36630000000000007,6.7048000000000005,0.10890000000000001,1.2321000000000002,0.4624000000000001,Close,Gas Giant - Close,Inside
BD-10 3166 b,275.0,10.013,Gas Giant,2000,0.59,Jupiter,1.26,Jupiter,0.04,0.009582478,0.02,Radial Velocity,0.7434,0.40052,0.34809999999999997,1.5876000000000001,0.0016,Close,Gas Giant - Close,Inside
BD-11 4672 b,89.0,10.03,Gas Giant,2014,0.65,Jupiter,1.25,Jupiter,2.36,4.5,0.05,Radial Velocity,0.8125,23.670799999999996,0.42250000000000004,1.5625,5.569599999999999,Close,Gas Giant - Close,Outside
BD-11 4672 c,89.0,10.03,Neptune-like,2020,15.37,Earth,0.36,Jupiter,0.3,0.20314851,0.4,Radial Velocity,5.5332,3.009,236.23689999999996,0.1296,0.09,Close,Neptune-like - Close,Inside
BD-13 2130 b,3018.0,10.038,Gas Giant,2007,9.78,Jupiter,1.11,Jupiter,1.66,2.0,0.21,Radial Velocity,10.8558,16.66308,95.64839999999998,1.2321000000000002,2.7556,Close,Gas Giant - Close,On the Edge
